,Unnamed: 0,Dni od zakupu,Marka,Wiek kupującego,Plec kupujacego,Ocena
0,0,9,Beko,42.0,M,1.5
2,2,9,Beko,33.0,M,2.0
3,3,8,Beko,41.0,M,5.0
5,5,14,Beko,,M,2.0
7,7,5,Beko,41.0,bd.,5.0
8,8,9,Beko,40.0,M,3.5
11,11,2,Beko,35.0,M,4.0
12,12,7,Beko,35.0,M,2.0
13,13,12,Beko,37.0,M,3.0
15,15,11,Beko,38.0,M,3.5
17,17,11,Beko,42.0,M,2.5
18,18,4,Beko,30.0,M,5.0
19,19,10,Beko,39.0,M,2.0
20,20,14,Beko,54.0,M,5.0
23,23,4,Beko,37.0,M,3.0
24,24,7,Beko,39.0,M,0.5
26,26,3,Beko,40.0,M,2.0
27,27,10,Beko,35.0,M,2.5
28,28,5,Beko,39.0,M,2.5
29,29,7,Beko,37.0,M,1.0
30,30,8,Beko,46.0,M,2.5
31,31,3,Beko,46.0,M,3.0
33,33,9,Beko,52.0,M,2.0
34,34,5,Beko,47.0,M,0.5
35,35,12,Beko,36.0,M,2.0
36,36,10,Beko,53.0,M,2.5
37,37,4,Beko,33.0,M,1.5
38,38,6,Beko,44.0,M,2.5
40,40,6,Beko,31.0,M,2.0
41,41,4,Beko,29.0,M,3.5
42,42,7,Beko,,M,3.0
43,43,8,Beko,53.0,M,1.0
44,44,6,Beko,43.0,M,1.5
45,45,10,Beko,,M,3.5
46,46,7,Beko,32.0,M,2.0
47,47,5,Beko,23.0,M,1.5
48,48,7,Beko,42.0,M,3.5
49,49,5,Beko,33.0,M,2.5
50,50,5,Beko,42.0,M,0.0
51,51,11,Beko,42.0,M,0.5
52,52,6,Beko,19.0,M,3.5
53,53,9,Beko,29.0,M,4.0
54,54,5,Beko,37.0,M,5.0
55,55,8,Beko,37.0,M,1.5
57,57,5,Beko,18.0,bd.,1.0
58,58,4,Beko,42.0,M,3.0
60,60,6,Beko,46.0,M,3.5
61,61,9,Beko,42.0,M,2.5
63,63,5,Beko,39.0,M,2.5
65,65,11,Beko,38.0,M,1.5
66,66,5,Beko,30.0,M,2.0
68,68,8,Beko,51.0,M,3.0
69,69,5,Beko,49.0,M,2.0
70,70,7,Beko,42.0,M,1.0
71,71,10,Beko,43.0,M,1.5
72,72,11,Beko,43.0,M,2.5
73,73,6,Beko,26.0,M,3.5
74,74,10,Beko,,M,3.0
76,76,10,Beko,52.0,M,2.0
78,78,6,Beko,30.0,M,2.5
79,79,7,Beko,20.0,M,5.0
80,80,6,Beko,54.0,M,2.5
81,81,7,Beko,41.0,M,1.5
82,82,11,Beko,,bd.,2.0
83,83,7,Beko,41.0,M,3.5
84,84,6,Beko,44.0,M,3.0
86,86,7,Beko,39.0,M,1.5
87,87,4,Beko,25.0,M,3.0
88,88,9,Beko,41.0,M,3.5
89,89,6,Beko,43.0,M,3.0
90,90,8,Beko,54.0,M,1.5
91,91,7,Beko,36.0,M,3.5
92,92,8,Beko,38.0,M,2.0
94,94,8,Beko,23.0,M,1.5
95,95,10,Beko,41.0,M,1.0
96,96,9,Beko,,M,4.0
97,97,8,Beko,30.0,M,2.0
98,98,6,Beko,40.0,M,3.5
99,99,9,Beko,30.0,M,2.5
101,101,5,Beko,44.0,M,2.0
102,102,8,Beko,39.0,M,3.5
104,104,4,Beko,42.0,M,2.5
105,105,10,Beko,47.0,M,4.5
106,106,4,Beko,70.0,bd.,4.0
109,109,5,Beko,27.0,M,2.5
110,110,7,Beko,42.0,M,3.0
111,111,4,Beko,49.0,M,1.5
112,112,6,Beko,32.0,K,2.5
113,113,5,Beko,42.0,M,2.5
115,115,5,Beko,21.0,M,1.0
116,116,8,Beko,31.0,M,0.0
118,118,7,Beko,35.0,M,4.0
120,120,8,Beko,57.0,bd.,3.5
121,121,3,Beko,42.0,M,2.5
122,122,6,Beko,46.0,M,4.0
123,123,6,Beko,51.0,M,2.0
124,124,5,Beko,45.0,M,4.0
126,126,7,Beko,,M,2.0
127,127,9,Beko,39.0,M,1.0
129,129,7,Beko,,M,3.5
130,130,7,Beko,,M,0.5
131,131,5,Beko,29.0,M,3.0
132,132,1,Beko,47.0,M,1.5
133,133,3,Beko,38.0,M,2.5
134,134,8,Beko,41.0,M,2.0
135,135,8,Beko,,bd.,2.0
136,136,11,Beko,,M,3.0
138,138,5,Beko,38.0,M,1.5
139,139,8,Beko,32.0,M,3.0
140,140,5,Beko,61.0,M,3.5
141,141,6,Beko,,M,3.0
142,142,9,Beko,,M,2.0
143,143,8,Beko,44.0,M,3.5
144,144,3,Beko,,M,3.5
145,145,10,Beko,50.0,M,0.5
148,148,11,Beko,31.0,M,1.5
151,151,4,Beko,24.0,M,1.0
152,152,3,Beko,44.0,M,2.5
153,153,5,Beko,43.0,bd.,2.0
154,154,3,Beko,44.0,M,5.0
155,155,7,Beko,34.0,bd.,2.5
158,158,5,Beko,22.0,M,3.5
159,159,10,Beko,37.0,M,4.0
160,160,7,Beko,34.0,bd.,2.5
162,162,7,Beko,41.0,M,1.0
165,165,3,Beko,29.0,M,2.0
166,166,5,Beko,50.0,M,2.5
167,167,3,Beko,27.0,M,3.5
168,168,3,Beko,43.0,bd.,5.0
169,169,9,Beko,30.0,M,3.0
170,170,6,Beko,38.0,M,2.5
171,171,1,Beko,42.0,M,1.0
172,172,7,Beko,31.0,M,2.0
176,176,6,Beko,44.0,M,1.0
177,177,6,Beko,25.0,bd.,3.5
178,178,14,Beko,33.0,M,2.0
179,179,8,Beko,,M,0.5
180,180,10,Beko,47.0,M,2.0
181,181,11,Beko,39.0,M,3.0
182,182,5,Beko,34.0,M,3.0
183,183,3,Beko,28.0,M,2.0
185,185,4,Beko,51.0,bd.,3.0
188,188,6,Beko,20.0,M,2.0
190,190,10,Beko,35.0,M,3.5
191,191,8,Beko,18.0,M,2.0
192,192,15,Beko,43.0,M,2.0
195,195,7,Beko,36.0,M,1.5
196,196,4,Beko,48.0,M,4.0
197,197,11,Beko,33.0,M,3.0
200,200,6,Beko,44.0,M,2.5
201,201,8,Beko,36.0,M,1.5
202,202,6,Beko,40.0,M,3.5
204,204,7,Beko,45.0,M,3.5
205,205,10,Beko,38.0,M,1.5
206,206,7,Beko,60.0,bd.,4.0
207,207,9,Beko,45.0,M,2.0
208,208,6,Beko,38.0,M,4.5
209,209,4,Beko,61.0,M,2.0
212,212,8,Beko,,M,1.5
214,214,9,Beko,56.0,M,2.0
215,215,4,Beko,,M,1.5
216,216,3,Beko,43.0,M,3.5
218,218,7,Beko,38.0,M,4.5
219,219,7,Beko,,M,2.0
220,220,4,Beko,40.0,M,2.5
222,222,12,Beko,,M,3.0
223,223,6,Beko,45.0,M,1.5
224,224,4,Beko,36.0,M,3.5
225,225,11,Beko,39.0,M,2.0
227,227,6,Beko,23.0,M,1.0
228,228,5,Beko,47.0,bd.,1.0
230,230,9,Beko,35.0,bd.,2.0
231,231,5,Beko,25.0,M,3.0
232,232,7,Beko,25.0,M,1.0
234,234,5,Beko,46.0,M,2.5
235,235,8,Beko,39.0,M,3.0
238,238,9,Beko,46.0,M,2.0
239,239,5,Beko,,M,3.5
240,240,8,Beko,,M,1.5
241,241,9,Beko,49.0,M,5.0
242,242,6,Beko,30.0,M,3.0
243,243,6,Beko,40.0,M,1.5
244,244,4,Beko,41.0,M,1.0
245,245,8,Beko,31.0,M,3.0
246,246,7,Beko,,M,1.0
247,247,4,Beko,,M,2.5
249,249,9,Beko,52.0,M,2.0
250,250,11,Beko,37.0,M,2.5
251,251,5,Beko,42.0,M,2.5
252,252,5,Beko,49.0,M,3.5
253,253,5,Beko,39.0,M,1.5
254,254,7,Beko,42.0,M,4.0
256,256,6,Beko,29.0,M,2.5
258,258,9,Beko,39.0,M,1.0
259,259,5,Beko,40.0,M,2.5
260,260,8,Beko,29.0,M,2.5
261,261,6,Beko,50.0,M,4.0
262,262,9,Beko,42.0,M,1.0
263,263,4,Beko,34.0,M,4.0
264,264,10,Beko,40.0,M,1.5
266,266,8,Beko,29.0,M,3.5
267,267,7,Beko,34.0,M,0.5
268,268,10,Beko,35.0,M,2.5
269,269,8,Beko,42.0,M,1.5
270,270,7,Beko,45.0,K,2.0
271,271,5,Beko,37.0,M,2.0
272,272,7,Beko,47.0,M,2.5
275,275,7,Beko,26.0,K,4.0
277,277,3,Beko,41.0,M,2.0
278,278,11,Beko,24.0,bd.,3.0
279,279,7,Beko,33.0,M,1.5
280,280,11,Beko,53.0,M,2.0
281,281,7,Beko,49.0,M,2.0
282,282,9,Beko,32.0,M,2.5
283,283,3,Beko,42.0,M,3.0
284,284,5,Beko,31.0,bd.,1.0
285,285,9,Beko,25.0,M,1.0
286,286,6,Beko,47.0,M,3.5
288,288,9,Beko,31.0,M,5.0
289,289,8,Beko,36.0,M,4.0
291,291,7,Beko,23.0,M,2.5
293,293,8,Beko,62.0,M,0.5
294,294,1,Beko,,M,3.5
296,296,5,Beko,26.0,M,5.0
297,297,5,Beko,22.0,M,4.0
298,298,3,Beko,54.0,M,3.0
299,299,6,Beko,36.0,K,5.0
300,300,8,Beko,40.0,M,1.5
301,301,6,Beko,48.0,M,1.0
302,302,5,Beko,39.0,M,1.0
304,304,8,Beko,37.0,M,2.0
305,305,8,Beko,37.0,M,1.0
306,306,9,Beko,33.0,M,3.0
307,307,7,Beko,,M,4.5
308,308,4,Beko,36.0,M,1.5
309,309,10,Beko,42.0,M,2.5
311,311,8,Beko,40.0,M,2.5
312,312,5,Beko,23.0,M,3.0
313,313,6,Beko,33.0,M,4.0
314,314,12,Beko,37.0,M,1.5
315,315,9,Beko,41.0,M,4.0
317,317,5,Beko,32.0,bd.,3.0
318,318,10,Beko,37.0,M,4.0
319,319,3,Beko,23.0,M,3.0
320,320,9,Beko,40.0,M,2.0
321,321,3,Beko,35.0,M,2.5
322,322,6,Beko,27.0,M,2.5
326,326,3,Beko,32.0,M,2.5
327,327,6,Beko,31.0,M,1.5
328,328,5,Beko,43.0,M,2.0
329,329,8,Beko,37.0,M,1.5
330,330,8,Beko,41.0,M,0.0
331,331,10,Beko,56.0,M,2.5
332,332,6,Beko,23.0,K,2.5
335,335,8,Beko,44.0,bd.,3.0
336,336,7,Beko,53.0,M,3.5
337,337,6,Beko,46.0,M,1.5
338,338,6,Beko,51.0,M,2.5
339,339,5,Beko,50.0,M,3.5
