,Unnamed: 0,Dni od zakupu,Marka,Wiek kupującego,Plec kupujacego,Ocena
1,1,7,Dyson,56.0,M,3.5
21,21,10,Dyson,46.0,M,1.0
25,25,11,Dyson,31.0,M,4.0
62,62,10,Dyson,45.0,K,3.5
146,146,6,Dyson,,M,2.5
147,147,3,Dyson,,M,2.5
156,156,9,Dyson,20.0,M,1.5
157,157,6,Dyson,36.0,M,3.0
163,163,11,Dyson,42.0,bd.,4.5
186,186,7,Dyson,39.0,M,3.5
187,187,5,Dyson,47.0,M,3.0
198,198,5,Dyson,26.0,M,2.5
229,229,8,Dyson,37.0,M,3.0
257,257,5,Dyson,23.0,bd.,3.0
287,287,10,Dyson,,M,1.5
290,290,10,Dyson,44.0,M,1.5
310,310,7,Dyson,22.0,M,1.0
323,323,6,Dyson,,M,2.0
333,333,7,Dyson,56.0,M,4.0
357,357,8,Dyson,24.0,M,3.5
363,363,13,Dyson,37.0,M,1.5
383,383,7,Dyson,46.0,M,2.0
392,392,7,Dyson,45.0,M,2.0
399,399,12,Dyson,,M,4.0
418,418,10,Dyson,51.0,M,2.0
424,424,5,Dyson,,M,1.5
427,427,13,Dyson,42.0,M,3.0
436,436,12,Dyson,43.0,M,2.0
438,438,3,Dyson,36.0,M,3.5
450,450,6,Dyson,56.0,M,5.0
456,456,13,Dyson,34.0,M,2.5
484,484,5,Dyson,36.0,bd.,1.0
495,495,4,Dyson,43.0,bd.,3.5
